what,kind,bundleId,bundleVersion,description,time
activated,editor,com.android.ide.eclipse.adt,22.3.0.v201310242005-887826,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1388189588056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388189589758
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388189639829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388189639894
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388189643541
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1388189650586
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1388189668841
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1388189674765
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190015049
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1388190018303
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1388190018691
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1388190019057
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1388190019127
started,bundle,com.android.ide.eclipse.ndk,22.3.0.v201310242005-887826,"com.android.ide.eclipse.ndk",1388190019359
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAutomatically",1388190020296
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190022033
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190025090
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1388190025133
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190028371
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190072802
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1388190075735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190076174
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190085735
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190088781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190090150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1388190090186
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190093801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190095425
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1388190095458
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190095879
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190162689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190164807
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190182106
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildProject",1388190187155
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1388190187557
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190187656
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190188532
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1388190191980
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190195578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190198033
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1388190198095
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190198531
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190198756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190200726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190428777
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190442263
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190540177
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1388190540202
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190544523
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1388190651932
